"site";"id";"upper_depth_cm";"lower_depth_cm";"volume_cm3";"info";"weight1";"n_perc";"c_perc";"cnratio";"density_gcm3";"rockvolume";"rockvolume_perc";"tot.layer.soc_kgm2";"soc_gcm3";"d.depth"
1;"Cal_1_LF";0;2;33.23805027;NA;184.8;1.166;45.195;38.76;0.308682366;0;0;2.790176826;0.139508841;2
1;"Cal_1_H";2;3;16.61902514;NA;321.5;0.544;23.151;42.54;0.619169892;0;0;1.433458346;0.143345835;1
1;"Cal_1_poz";3;7;66.47610055;NA;965.9;0.032;1.782;55.37;0.609091082;2.860377358;0.043028657;0.415569447;0.010389236;4
1;"Cal_1_7_28";7;28;348.9995279;NA;990.6;0.036;1.224;33.89;1.167623356;24.1509434;0.069200504;2.793537187;0.013302558;21
1;"Cal_2_Hpodz";2.5;20;290.8329399;NA;444.2;0.199;8.431;42.44;0.068974305;0;0;1.017704635;0.005815455;17.5
1;"Cal_2_20_41";20;41;348.9995279;NA;944.6;0.001;0.145;142.35;1.52235163;18.45283019;0.05287351;0.438267011;0.002086986;21
1;"Cal_3_L_F";0;3;49.85707541;NA;187.9;1.117;47.526;42.56;0.245501765;0;0;3.500343791;0.116678126;3
1;"Cal_3_H";3;4.5;24.92853771;NA;262.1;1.159;42.758;36.9;0.440860195;0;0;2.827513463;0.188500898;1.5
1;"Cal_3_elluv";4.5;9.5;83.09512569;NA;962.2;0.09;2.914;32.3;0.642636972;5.539622642;0.066666036;0.873954324;0.017479086;5
1;"Cal_3_A1A2";9.5;27;290.8329399;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.5
1;"Cal_3_27_44";27;44;282.5234273;NA;872.3;0.001;0.15;272.34;1.736847116;83.81132075;0.296652641;0.311375327;0.00183162;17
1;"Cal_3_50_70";50;70;332.3805027;NA;849.9;0.001;0.059;83.24;1.218783884;50.11320755;0.150770599;0.121698592;0.000608493;20
1;"Cal_3_70_90";70;90;332.3805027;NA;1237.9;0;0.043;0;1.782896395;62.11320755;0.1868738;0.123901595;0.000619508;20
3;"MT_1_H";4;6;33.23805027;NA;313.1;1.217;33.167;27.26;0.50544481;0;0;3.352829537;0.167641477;2
3;"MT_1_elluv";6;11;83.09512569;NA;823.5;0.327;6.626;20.26;0.749261759;0;0;2.482390282;0.049647806;5
3;"MT_1_11_30";11;30;315.7614776;NA;968.1;0.091;1.617;17.71;1.25062754;45.28301887;0.14340894;3.290400842;0.017317899;19
3;"MT_1_30_50";30;50;332.3805027;NA;950.4;0.116;3.357;28.87;1.074070221;66.52830189;0.200157053;5.768653016;0.028843265;20
3;"MT_3_LF";0;7;116.333176;NA;278;1.387;45.307;32.66;0.116046002;0;0;3.680424168;0.052577488;7
3;"MT_3_H";7;8;16.61902514;NA;614;0.234;8.637;36.96;1.000660379;0;0;0.864231061;0.086423106;1
3;"MT_3_1_25";10;25;249.2853771;NA;942.4;0.06;1.133;18.96;1.138454262;18.67924528;0.074931171;1.789063866;0.011927092;15
